Cat_1_3.bmp	left	j	0.7308824	black
Cat_2_3.bmp	right	k	0.78591288	orange
Cat_2_3.bmp	left	j	0.913627	orange
Cat_1_1.bmp	left	j	0.68632952	black
Cat_2_3.bmp	right	k	1.03515704	orange
Cat_1_3.bmp	left	j	0.68001931	black
Cat_1_2.bmp	right	j	0.97389662	black
Cat_1_1.bmp	right	j	0.73099902	black
Cat_1_2.bmp	left	j	0.7013827	black
Cat_2_1.bmp	left	j	1.18634169	orange
Cat_2_1.bmp	right	k	0.71522136	orange
Cat_1_2.bmp	right	k	0.67511222	black
Cat_1_3.bmp	left	j	0.508059	black
Cat_1_2.bmp	right	k	0.86099725	black
Cat_2_1.bmp	left	j	0.57549512	orange